Title,Price,Link,Image,Availability,ID,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory
Pc de Bureau Gamer MYTEK AMD RYZEN 7 32Go RTX5070 12G,"5 169,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-7-32go-rtx5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-7-32go-rtx5070-12g.jpg,En stock,[ALIEN-7700-5070],AMD,ryzen 7 7700 3,8,5.3,32,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i5 14è Gén 32G RTX5070 12G,"5 289,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-14e-gen-32g-rtx5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i5-14e-gen-32g-rtx5070-12g.jpg,En stock,[WITCHER-14600-5070],Intel,Unknown,Unknown,5.3,24,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4070 VENTUS 2X E 12G OC,"5 299,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-msi-rtx-4070-ventus-2x-e-12g-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-msi-rtx-4070-ventus-2x-e-12g-oc-01.jpg,Sur commande 48h,[COMMANDO-12700-4070],Intel,i7-12700k,Unknown,Unknown,25,Unknown,ddr4,1,ssd,tb,Unknown,rtx 4070,Unknown
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"5 499,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-13e-gen-16go-msi-rtx-4070-super-12g-ventus-2x-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-13e-gen-16go-msi-rtx-4070-super-12g-ventus-2x-oc-01.jpg,Sur commande 48h,[DRAGON-13700-4070S],Intel,i7-13700k,Unknown,5.40,30,Unknown,ddr4,500,ssd,gb,Unknown,rtx 4070,Unknown
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX 4070 Ti GAMING X TRIO 12G,"5 759,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-7-16go-msi-rtx-4070-ti-gaming-x-trio-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-7-16go-msi-rtx-4070-ti-gaming-x-trio-12g-012.jpg,Sur commande 48h,[CANON-7700X-4070Ti],AMD,ryzen 7 7700x,8,5.4,32,Unknown,ddr4,1,ssd,tb,Unknown,rtx 4070,Unknown
Pc de Bureau Gamer MYTEK i7 14è Gén 32Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"5 839,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-32go-msi-rtx-4070-super-12g-ventus-2x-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-14e-gen-32go-msi-rtx-4070-super-12g-ventus-2x-oc-01.jpg,Sur commande 48h,[COMMANDO-14700-4070S],Intel,Unknown,Unknown,Unknown,33,Unknown,ddr4,1,ssd,tb,Unknown,rtx 4070,Unknown
Pc de Bureau Gamer MYTEK AMD RYZEN 7 32Go MSI RTX 4070 Ti GAMING X TRIO 12G,"5 999,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-7-32go-msi-rtx-4070-ti-gaming-x-trio-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-7-32go-msi-rtx-4070-ti-gaming-x-trio-12g-012.jpg,Sur commande 48h,[CANON-7700X-4070Ti-32G],AMD,ryzen 7 7700x,8,5.4,32,Unknown,ddr4,1,ssd,tb,Unknown,rtx 4070,Unknown
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4070 TI GAMING X SLIM WHITE 12Go,"5 999,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-msi-rtx-4070-ti-gaming-x-slim-white-12go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-msi-rtx-4070-ti-gaming-x-slim-white-12go-01.jpg,Sur commande 48h,[SUBZERO-12700-4070TI],Intel,Unknown,Unknown,Unknown,25,Unknown,ddr4,1,ssd,tb,Unknown,rtx 4070,12
Pc de Bureau Gamer MYTEK Ultra 5 245KF 32Go ASUS RTX 5070 12G,"6 079,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-5-245kf-32go-asus-rtx-5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-5-245kf-32go-asus-rtx-5070-12g.jpg,Sur commande 48h,[KIMERA-245KF-5070],Intel,Unknown,Unknown,5.2,24,Unknown,ddr5,1,nvme,tb,Unknown,rtx 5070,12
Pc de Bureau Gamer MYTEK i7 13è Gén 32Go MSI RTX 5070 12G,"6 099,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-13e-gen-32go-msi-rtx-5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-13e-gen-32go-msi-rtx-5070-12g.jpg,Sur commande 48h,[SCORPION-13700K-5070],Intel,i7-13700k,Unknown,5.40,30,Unknown,ddr5,2,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK Ultra 7 265K 128Go RTX 4060 Ti 16Go,"7 299,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-4060-ti-16go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-ultra-7-265k-128go-rtx-4060-ti-16go-40.jpg,Sur commande 48h,[DAVINCI-265K-16G4060Ti],Intel,Unknown,Unknown,5.5,30,Unknown,ddr5,1,ssd,tb,Unknown,rtx 4060,16
