Title,Price,Link,Image,Availability,ID,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory
"Pc de bureau Gamer LITE / i5-10400F / GT 710 2G / 8 Go Avec Écran Dahua 22"" Full HD VA / 100 Hz / VGA / HDMI","1 219,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86700-pc-de-bureau-gamer-lite-i5-10400f-gt-710-2g-8-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.html,https://www.tunisianet.com.tn/433542-home/pc-de-bureau-gamer-lite-i5-10400f-gt-710-2g-8-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.jpg,En stock,[LITE-346-8G-EC],Intel,i5-10400f,Unknown,4.3,12,8,ddr4,256,ssd,gb,Unknown,Unknown,2
Pc de bureau Gamer LITE / i5-10400F / RX 580 8G / 16 Go,"1 219,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87168-pc-de-bureau-gamer-lite-i5-10400f-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/435423-home/pc-de-bureau-gamer-lite-i5-10400f-rx-580-8g-16-go.jpg,En stock,[LITE-333-16G-S],Intel,i5-10400f,Unknown,4.3,12,16,ddr4,256,ssd,gb,amd,radeon-rx-580,8
"Setup Gamer SPECIAL Pc de Bureau Gaming / Ryzen 5 5600GT / Vega 7 / 16 Go Avec Écran Gamer REDRAGON NEAPOLIS 24"" Full HD VA / 100 Hz","1 229,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87190-setup-gamer-special-pc-de-bureau-gaming-ryzen-5-5600gt-vega-7-16-go-avec-ecran-gamer-redragon-neapolis-24-full-hd-va-100-hz.html,https://www.tunisianet.com.tn/435466-home/setup-gamer-special-pc-de-bureau-gaming-ryzen-5-5600gt-vega-7-16-go-avec-ecran-gamer-redragon-neapolis-24-full-hd-va-100-hz.jpg,En stock,[SETUP-5600G-13-SSSS],AMD,ryzen5-5600-gt,Unknown,4.6,19,Unknown,ddr4,512,ssd,gb,amd,radeon-vega-7,Unknown
Pc de bureau Gamer LITE / i3-14100F / RX 580 8G / 16 Go,"1 229,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87178-pc-de-bureau-gamer-lite-i3-14100f-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/435443-home/pc-de-bureau-gamer-lite-i3-14100f-rx-580-8g-16-go.jpg,En stock,[LITE-355-16G],Intel,i3-14100f,Unknown,4.7,12,16,ddr4,256,ssd,gb,amd,radeon-rx-580,8
Pc de Bureau Gamer ELITE / i5-10400F / RX 580 8G / 16 Go,"1 249,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/73978-pc-de-bureau-gamer-elite-i5-10400f-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/361734-home/pc-de-bureau-gamer-elite-i5-10400f-rx-580-8g-16-go.jpg,En stock,[ELITE-82-16G-S],Intel,i5-10400f,Unknown,4.3,12,16,ddr4,500,ssd,gb,amd,radeon-rx-580,8
Pc de bureau Gamer LITE / Ryzen 7 5700G / Vega 8 / 32 Go,"1 269,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86521-pc-de-bureau-gamer-lite-ryzen-7-5700g-vega-8-32-go.html,https://www.tunisianet.com.tn/432519-home/pc-de-bureau-gamer-lite-ryzen-7-5700g-vega-8-32-go.jpg,En stock,[LITE-328-32G-1TO-S],AMD,ryzen7-5700g,Unknown,4.6,20,32,ddr4,1,ssd,tb,amd,radeon-vega-8,Unknown
"Pc de bureau Gamer LITE / i5-10400F / GT 710 2G / 16 Go Avec Écran Dahua 22"" Full HD VA / 100 Hz / VGA / HDMI","1 269,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86701-pc-de-bureau-gamer-lite-i5-10400f-gt-710-2g-16-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.html,https://www.tunisianet.com.tn/433545-home/pc-de-bureau-gamer-lite-i5-10400f-gt-710-2g-16-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.jpg,En stock,[LITE-346-16G-EC],Intel,i5-10400f,Unknown,4.3,12,16,ddr4,256,ssd,gb,Unknown,Unknown,2
"Pc de bureau Gamer LITE / i5-10400F / GT 1030 4G / 16 Go Avec Écran Dahua 22"" Full HD VA / 100 Hz / VGA / HDMI","1 289,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86693-pc-de-bureau-gamer-lite-i5-10400f-gt-1030-4g-16-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.html,https://www.tunisianet.com.tn/433512-home/pc-de-bureau-gamer-lite-i5-10400f-gt-1030-4g-16-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.jpg,En stock,[LITE-342-16G-EC],Intel,i5-10400f,Unknown,4.3,12,16,ddr4,256,ssd,gb,Unknown,Unknown,4
Pc de bureau Gamer LITE / Ryzen 5 5500 / RX 580 8G / 16 Go,"1 289,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87176-pc-de-bureau-gamer-lite-ryzen-5-5500-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/435439-home/pc-de-bureau-gamer-lite-ryzen-5-5500-rx-580-8g-16-go.jpg,En stock,[LITE-353-16G-SS],AMD,ryzen5-5500,Unknown,4.2,19,16,ddr4,1,ssd,tb,amd,radeon-rx-580,8
Pc de bureau Gamer LITE / Ryzen 5 5600GT / Vega 7 / 16 Go,"1 289,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86529-pc-de-bureau-gamer-lite-ryzen-5-5600gt-vega-7-16-go.html,https://www.tunisianet.com.tn/432587-home/pc-de-bureau-gamer-lite-ryzen-5-5600gt-vega-7-16-go.jpg,En stock,[LITE-336-16G-1TO-WH],AMD,ryzen5-5600-gt,Unknown,4.6,19,16,ddr4,1,ssd,tb,amd,radeon-vega-7,Unknown
