Title,Price,Link,Image,Availability,ID,Brand,Size,Resolution,Refresh Rate,Response Time,Contrast,Brightness,Viewing Angle,Curvature,Connectors,Audio Ports,Flicker Free,Blue Light Filter,Adaptive Sync,Panel Type
"Ecran Gaming Curved Redragon CORAL 27""QHD 2K / 180Hz / NOIR","549,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/74602-ecran-gaming-curved-redragon-coral-27qhd-2k-180hz-noir.html,https://www.tunisianet.com.tn/366110-home/ecran-gaming-curved-redragon-coral-27qhd-2k-180hz-noir.jpg,En stock,[GM27H10QC],"curved redragon coral - taille de l'ecran: 27"" qhd 2k - resolution: (2560 x 1440 pixels) - luminosite: 250 cd/m2 - contrast: 3000:1 - taux de rafraîchissement 180 hz - temps de réponse : 1 ms - freesync premium - 5 modes (standard",27,qhd,180 hz,1 ms,3000:1,250 cd/m2 ,Unknown Viewing Angle,Unknown,"['audio', 'hdmi']",No,No,No,No,Unknown Panel Type
"Écran Gamer iiyama G-MASTER GB2470HSU-B6 24"" Full HD IPS / 180 Hz / Pivot 90° / Noir","549,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/85409-ecran-gamer-iiyama-g-master-gb2470hsu-b6-24-full-hd-ips-180-hz-pivot-90-noir.html,https://www.tunisianet.com.tn/425847-home/ecran-gamer-iiyama-g-master-gb2470hsu-b6-24-full-hd-ips-180-hz-pivot-90-noir.jpg,Sur commande,[GB2470HSU-B6],"iiyama g-master gb2470 hsu-b6 24"" - matrice: ips - incurve: 1500r - resolution: fhd (1920 x 1080)",24,fhd,180 hz,Unknown Response Time,1000:1,300 cd/m² ,178°/178°,1500r,"['hdmi', 'displayport']",No,Yes,No,No,ips
"Écran gaming incurvé Aiwa 29"" Full HD VA / 180 Hz / Noir","585,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/77300-ecran-gaming-incurve-aiwa-29-full-hd-va-180-hz-noir.html,https://www.tunisianet.com.tn/380298-home/ecran-gaming-incurve-aiwa-29-full-hd-va-180-hz-noir.jpg,En stock,[MD290K-V],Unknown Brand,29,fhd,180 hz,1 ms,Unknown Contrast,Unknown Brightness,Unknown Viewing Angle,Unknown,"['audio', 'hdmi', 'displayport']",Yes,No,No,No,va
Écran Gaming LG 27'' Full HD IPS / 180 Hz,"589,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/79006-ecran-gaming-lg-27-full-hd-ips-180-hz.html,https://www.tunisianet.com.tn/392798-home/ecran-gaming-lg-27-full-hd-ips-180-hz.jpg,En stock,[27GS60F],lg fhd 27'' - resolution 1920 x 1080 - type de dalle: ips - format de l'image 16:9 - taux de rafraîchissement 180 hz - luminosite 300 cd/m² - taux de contraste 1000:1 - temps de réponse: 1 ms (gtg à plus rapide) - angle de vision: 178º(d/g),Unknown Size,fhd,180 hz,1 ms,1000:1,Unknown Brightness,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,ips
"Écran Gaming AERO AE25DQI 27"" QHD IPS / 180 Hz / Noir","599,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/85642-ecran-gaming-aero-ae25dqi-27-qhd-ips-180-hz-noir.html,https://www.tunisianet.com.tn/427595-home/ecran-gaming-aero-ae25dqi-27-qhd-ips-180-hz-noir.jpg,Sur commande,[AE25DQI],"aero ae25 dqi 27"" - resolution: qhd (2560 x 1440 pixels) - technologie d'ecran: technologie ips - taux de rafraîchissement: 180 hz - temps de réponse: 1 ms - contraste: 1000:1 - luminosite: 450 cd/m² - angle de vue: 178 ° vertical/178 ° horizontal - connectivité: 2x hdmi",27,qhd,180 hz,1 ms,1000:1,450 cd/m² ,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,ips
"Ecran Gaming REDRAGON OPAL II 27"" 2K IPS QHD / 180 Hz / NOIR","599,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/86390-ecran-gaming-redragon-opal-27-2k-ips-qhd-180-hz-noir.html,https://www.tunisianet.com.tn/431797-home/ecran-gaming-redragon-opal-27-2k-ips-qhd-180-hz-noir.jpg,En stock,[GM27X5QIPS180],"redragon opal ii 27"" - taille de l'ecran : 27"" - resolution: ips qhd 2k - taux de rafraîchissement: 180 hz - temps de réponse 1 ms - contrast 1000:1 - gtg 5 ms (with od) - free sync - 5 modes: (standard",27,qhd,180 hz,1 ms,1000:1,Unknown Brightness,Unknown Viewing Angle,Unknown,"['audio', 'hdmi', 'displayport']",No,No,No,Yes,ips
"Écran gaming DELL G2422HS 24"" Full HD IPS / 165 Hz / 1 ms / Noir","609,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/76346-ecran-gaming-dell-g2422hs-24-full-hd-ips-165-hz-1-ms-noir.html,https://www.tunisianet.com.tn/374838-home/ecran-gaming-dell-g2422hs-24-full-hd-ips-165-hz-1-ms-noir.jpg,En stock,[G2422HS-3Y],"dell g2422 hs 24"" - type d'affichage: ecran lcd à rétroéclairage led / matrice active tft - type de panneau: ips - resolution: fhd (1080p)",24,fhd,165 hz,1 ms,1000:1,350 cd/m² ,178°/178°,Unknown,"['audio', 'hdmi', 'displayport']",Yes,No,No,No,ips
"Écran Gaming MSI MAG 275QF 27"" WQHD IPS / 180 Hz / 0.5 ms / Noir","619,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/86389-ecran-gaming-msi-mag-275qf-27-wqhd-ips-180-hz-05-ms-noir.html,https://www.tunisianet.com.tn/431794-home/ecran-gaming-msi-mag-275qf-27-wqhd-ips-180-hz-05-ms-noir.jpg,En stock,[MAG275QF],"msi mag 275 qf 27"" - courbure: plat - type de panneau: ips rapide - resolution du panneau: wqhd (2560x1440 px) - luminosite: 300 (nits) - rapport de contraste: 1000:1 - taux de rafraîchissement: 180 hz - temps de réponse: 0.5 ms (gtg",27,2560x1440,180 hz,5 ms,1000:1,300 (nits) ,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,ips
"Écran Gaming Lenovo Legion R25f-30 24.5"" LED Full HD VA / 240 Hz / Noir","649,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/81335-ecran-gaming-lenovo-legion-r25f-30-245-led-full-hd-va-240-hz-noir.html,https://www.tunisianet.com.tn/404740-home/ecran-gaming-lenovo-legion-r25f-30-245-led-full-hd-va-240-hz-noir.jpg,En stock,[67B8GACBEU-3Y],"lenovo legion r25f-30 24.5"" - panneau va virginie - rétroéclairage: led à del - resolution: fhd (1920x1080) - angle de vue (h / v): 178° / 178° - temps de réponse: 0",24.5,fhd,240 hz,5 ms,3000:1,380 cd/m² ,178° / 178°,Unknown,['hdmi'],No,No,No,No,va
"Écran Gaming Incurvé GIGABYTE GS27QCA 27"" QHD VA / 180 Hz / Noir","679,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/85643-ecran-gaming-incurve-gigabyte-gs27qca-27-qhd-va-180-hz-noir.html,https://www.tunisianet.com.tn/427608-home/ecran-gaming-incurve-gigabyte-gs27qca-27-qhd-va-180-hz-noir.jpg,Sur commande,[GS27QCA],Unknown Brand,27,qhd,180 hz,1 ms,5000:1,250 cd/m2 ,Unknown Viewing Angle,1500r,"['hdmi', 'displayport']",No,Yes,No,No,va
"Écran Gaming incurvé Samsung Odyssey G55C 27"" QHD / 165 Hz / Noir","876,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/81414-ecran-gaming-incurve-samsung-odyssey-g55c-27-qhd-165-hz-noir.html,https://www.tunisianet.com.tn/405273-home/ecran-gaming-incurve-samsung-odyssey-g55c-27-qhd-165-hz-noir.jpg,En stock,[LS27CG552],Unknown Brand,27,qhd,165 hz,1 ms,2500:1,300 cd/㎡ ,Unknown Viewing Angle,1000r,['hdmi'],No,Yes,No,No,va
"Écran MSI PRO MP275QPDG 27"" WQHD IPS / 100 Hz / PIVOTANT / Avec haut-parleurs / Noir","999,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/86584-ecran-msi-pro-mp275qpdg-27-wqhd-ips-100-hz-pivotant-avec-haut-parleurs-noir.html,https://www.tunisianet.com.tn/432967-home/ecran-msi-pro-mp275qpdg-27-wqhd-ips-100-hz-pivotant-avec-haut-parleurs-noir.jpg,En stock,[MP275QPDG],Unknown Brand,27,Unknown Resolution,100 hz,1 ms,1300:1,250 cd/m2 nits ,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,ips
"Écran Gaming Lenovo G27qe-20 / 27"" IPS QHD / 100Hz","1 019,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/65607-ecran-gaming-lenovo-g27qe-20-27-ips-qhd-ips-100hz.html,https://www.tunisianet.com.tn/309427-home/ecran-gaming-lenovo-g27qe-20-27-ips-qhd-ips-100hz.jpg,Sur commande,[66E1GAR1EU],"lenovo g27 qe-20 27"" ips qhd - resolution 2560 x 1440 - taux de rafraîchissement de 100 hz - temps de réponse de 1 ms - luminosite 350 nits - contraste 1000:1 - anti-éblouissement - angle de vision (horizontal) 178° - angle de vision (vertical) 178° - technologie de synchronisation amd radeon freesync - 1x hdmi 2.0 - 1x dp 1.4 - affichage eyesafe",27,qhd,100 hz,1 ms,1000:1,Unknown Brightness,Unknown Viewing Angle,Unknown,['hdmi'],No,No,No,No,ips
"Ecran LG UltraGear 32"" FHD  32GN50R-B / 165 Hz","1 469,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/65778-ecran-lg-ultragear-32-fhd-32gn50r-b-165-hz.html,https://www.tunisianet.com.tn/310387-home/ecran-lg-ultragear-32-fhd-32gn50r-b-165-hz.jpg,Sur commande,[32GN50R-B.AEU],"lg ultragear 32"" fhd 32 gn50r-b - resolution fhd (198 x 1080 pixels) - taux de rafraichissement maxi 165 hz - dalle nano-ips - luminosite 300 cd - contraste 3000:1 -temps de réponse 5 ms (gtg à plus rapide) - angle de vision 178º (d/g)",32,fhd,165 hz,5 ms,3000:1,Unknown Brightness,Unknown Viewing Angle,Unknown,"['hdmi', 'displayport']",No,No,No,No,ips
"Écran Gaming MSI MP275QPDG 27"" UHD IPS / 144 Hz / PIVOTANT / Noir","1 499,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/86586-ecran-gaming-msi-mp275qpdg-27-uhd-ips-144-hz-pivotant-noir.html,https://www.tunisianet.com.tn/432981-home/ecran-gaming-msi-mp275qpdg-27-uhd-ips-144-hz-pivotant-noir.jpg,En stock,[MAG274UPF],"msi mp275 qpdg 27"" - resolution: uhd (3840 x 2160) - taux de rafraîchissement: 144 hz - temps de réponse: 1 ms (gtg) - type de panneau: ips rapide - luminosite: 400 nits - angle de vision: 178° (h) / 178° (v) - rapport de contraste: 1000:1 - traitement de surface: antireflet - 2x hdmi 2.1 - 1x displayport 1.4a - 1x usb type-c - 3x ports usb 2.0 - 1 x sortie casque - 2x haut-parleurs 2w - montage vesa: 75x 75 mm - technologie de taux de rafraîchissement dynamique: freesync premium",27,uhd,144 hz,1 ms,1000:1,400 nits ,Unknown Viewing Angle,Unknown,"['usb type-c', 'hdmi', 'displayport']",No,No,No,No,ips
"Écran Gaming LG 32UR500 32"" 4K UHD VA / 60 Hz / HDR / 4ms / Noir","1 999,000 DT",https://www.tunisianet.com.tn/ecran-pc-tunisie/78933-ecran-gaming-lg-32ur500-32-4k-uhd-va-60-hz-hdr-4ms-noir.html,https://www.tunisianet.com.tn/392377-home/ecran-gaming-lg-32ur500-32-4k-uhd-va-60-hz-hdr-4ms-noir.jpg,Sur commande,[32UR500],"lg 32 ur500 31.5"" - resolution: 4k uhd ( 3840 x 2160 px )",31.5,uhd,60 hz,4 ms,3000:1,250 cd/m² ,Unknown Viewing Angle,Unknown,['hdmi'],No,No,No,No,va
